Name,Type,Subtype,Language,en Translation,Category,Subcategory,Pricing Category,Length,Under offer,Offer date,Sold price,Sold date,domainname.tld,createprice,renewprice,transferprice,Registrar,Status,Allocated?
0,Premium,"Reserved,Make offer",en,,Combinations,Numeric,1,1,,,,,0.eco,,50,50,,,
1,Premium,"Reserved,Make offer",en,,Combinations,Numeric,1,1,,,,,1.eco,,50,50,,,
2,Premium,"Reserved,Make offer",en,,Combinations,Numeric,1,1,,,,,2.eco,,50,50,,,
3,Premium,"Reserved,Make offer",en,,Combinations,Numeric,1,1,,,,,3.eco,,50,50,,,
4,Premium,"Reserved,Make offer",en,,Combinations,Numeric,1,1,,,,,4.eco,,50,50,,,
5,Premium,"Reserved,Make offer",en,,Combinations,Numeric,1,1,,,,,5.eco,,50,50,,,
6,Premium,"Reserved,Make offer",en,,Combinations,Numeric,1,1,,,,,6.eco,,50,50,,,
7,Premium,"Reserved,Make offer",en,,Combinations,Numeric,1,1,,,,,7.eco,,50,50,,,
8,Premium,"Reserved,Make offer",en,,Combinations,Numeric,1,1,,,,,8.eco,,50,50,,,
9,Premium,"Reserved,Make offer",en,,Combinations,Numeric,1,1,,,,,9.eco,,50,50,,,
88,Premium,Make offer,en,,Combinations,Numeric,1,2,,,,,88.eco,,50,50,,,
888,Premium,Make offer,en,,Combinations,Numeric,1,3,,,,,888.eco,,50,50,,,
a,Premium,"Reserved,Make offer",en,,Generic,Single Letter,1,1,,,,,a.eco,,50,50,,,
aaa,Premium,Make offer,en,,Combinations,Three Character,1,3,,,,,aaa.eco,,50,50,,,
abc,Premium,Make offer,en,,Combinations,Three Character,1,3,,,,,abc.eco,,50,50,,,
acheter,Premium,Make offer,fr,Buy,Shopping,General,1,7,,,,,acheter.eco,,50,50,,,
act,"Premium,Registry","Make offer,Grant",en,,Generic,Verbs,1,3,,,,,act.eco,,50,50,,,checked
action,"Premium,Registry","Make offer,Grant",en,,Science,Verbs,1,6,,,,,action.eco,,50,50,,,checked
actions,Premium,Make offer,en,,Generic,Eco,1,7,,,,,actions.eco,,50,50,,,
active,Premium,"Make offer,Future grant",en,,Generic,General,1,6,,,,,active.eco,,50,50,,,
activism,Premium,Make offer,en,,NonProfit,Terminology,1,8,,,,,activism.eco,,50,50,,,
add,Premium,Make offer,en,,Generic,Verbs,1,3,,,,,add.eco,,50,50,,,
ads,Premium,Make offer,en,,Combinations,Three Character,1,3,,,,,ads.eco,,50,50,,,
advocacy,Premium,"Make offer,Future grant",en,,Generic,Eco,1,8,,,,,advocacy.eco,,50,50,,,
agri,Premium,Make offer,en,,Industry,General,1,4,,,,,agri.eco,,50,50,,,
agribusiness,Premium,Make offer,en,,Science,Farming,1,12,,,,,agribusiness.eco,,50,50,,,
agriculture,Premium,"Make offer,Future grant",en,,Industry,General,1,11,,,,,agriculture.eco,,50,50,,,
agro,Premium,"Make offer,Future grant",en,,Industry,General,1,4,,,,,agro.eco,,50,50,,,
agua,Premium,Make offer,es,Water,Science,Eco,1,4,,,,,agua.eco,,50,50,,,
aid,Premium,Make offer,en,,Science,Verbs,1,3,,,,,aid.eco,,50,50,,,
air,Premium,Make offer,en,,Science,Eco,1,3,,,,,air.eco,,50,50,,,
all,Premium,Make offer,en,,Generic,Pronoun,1,3,,,,,all.eco,,50,50,,,
alliance,Premium,"Make offer,Future grant",en,,Business,Eco,1,8,,,,,alliance.eco,,50,50,,,
alternativeenergy,Premium,Make offer,en,,Science,Energy,1,17,,,,,alternativeenergy.eco,,50,50,,,
aluminium,Premium,Make offer,en,,Industry,Commodity,1,9,,,,,aluminium.eco,,50,50,,,
aluminum,Premium,Make offer,en,,Industry,Materials,1,8,,,,,aluminum.eco,,50,50,,,
analysis,Premium,Make offer,en,,Finance,General,1,8,,,,,analysis.eco,,50,50,,,
any,Premium,Make offer,en,,Generic,Pronoun,1,3,,,,,any.eco,,50,50,,,
app,Premium,Make offer,en,,Technology,General,1,3,,,,,app.eco,,50,50,,,
apparel,Premium,"Make offer,Future grant",en,,Products,Clothing,1,7,,,,,apparel.eco,,50,50,,,
appraisal,Premium,Make offer,en,,Business,General,1,9,,,,,appraisal.eco,,50,50,,,
apps,Premium,Make offer,en,,Technology,General,1,4,,,,,apps.eco,,50,50,,,
aquaculture,Premium,"Make offer,Future grant",en,,,,1,11,,,,,aquaculture.eco,,50,50,,,
aquarium,Premium,"Make offer,Future grant",en,,Animals,Pet Supplies,1,8,,,,,aquarium.eco,,50,50,,,
arborist,Premium,Make offer,en,,Profession,Eco,1,8,,,,,arborist.eco,,50,50,,,
architect,Premium,Make offer,en,,Profession,General,1,9,,,,,architect.eco,,50,50,,,
arctic,Premium,"Make offer,Future grant,RO100",en,,Geo,Region,1,6,,,,,arctic.eco,,50,50,Big Room (Afilias),,checked
art,Premium,"Make offer,Future grant",en,,Arts,General,1,3,,,,,art.eco,,50,50,,,
asia,Premium,"Make offer,Future grant",en,,Geo,Region,1,4,,,,,asia.eco,,50,50,,,
